It Makes No Difference Now,Billie Jo Spears,Country,"Makes no difference now what kind of life fate hands me
I'll get along without you now that's plain to see
I don't care what happens next 'cause I'll get by somehow
I don't worry 'cause it makes no difference now

It was just a year ago when I first met you
I learned to love you and I thought you loved me too
But now that's all in the past and I'll forget somehow
I don't worry 'cause it makes no difference now

Now that we have really parted I can't believe we're through
I don't blame myself and I'm sure I can't blame you
I know that something had to happen and it happened somehow
I don't worry 'cause it makes no difference now

After all is said and done I'll soon forget you
Although I know that it will be so hard to do
Let things happen as they will and I'll get by somehow
I don't worry 'cause it makes no difference now"
Trashcan tomcat,Jim Lauderdale,Country,"Call me trashcan tomcat*
I'm as lonesome as a song
Call me trashcan tomcat
And you will never call me wrong
Meet me in the silver starlight
When the dusty day is through
Wiggle through the door to midnight
I'll be waiting there for you
Baby set aside some downtime
Well baby take off your chain
Baby if you got the incline
I can ease you of your pain
Even madness has its season
Well you know it's difficult
Never ask to know the reason
When you can judge by the result
Call me trashcan tomcat
I'm as lonesome as a song
Call me trashcan tomcat
And you will never call me wrong
Here among the bones and fish tails
Beneath the Mississippi moon
I'll speak of love that never fails
I will even sing the tune
Call me trashcan tomcat
I'm as lonesome as a song
Call me trashcan tomcat
Lonely as the day is long
I will leave you in the morning
When my alley run is through
Disappear without a warning
But I will never leave you blue
I will search among the tatters
And the scaps of people's dreams
Sift the ash for all that matters
Try to tell you what it means
Call me trashcan tomcat
I'm as lonesome as a song
Call me trashcan tomcat
Lonely as the day is long
Just call me trashcan tomcat
Lonely as the day is long"
My Love (Album Version),LITTLE TEXAS,Country,"Get on your mark, get set
Ready or not here I come
You've been looking for love
Well honey, I can give you some
When your world is standing still
I can turn it around
Put your head up in the clouds
And pick your feet off the ground

My love
Are you ready for my love, my love
My love, my love is ready for you.
If you're looking for a heart that's always true
Only to you, then my love
My love, my love is ready for you.

Girl, I've heard it said
That love is good for the soul
I see the hunger in your eyes
Burning out of control
My love is overflowing from a loving cup
Girl, I know you're down
But love will lift you up.

My love is overflowing from a loving cup
Girl, I know your're down
But love will lift you up

My love, my love is ready for you... (x2)"
Indian Love Call,Slim Whitman,Country,"When I'm calling you
Will you answer too?

That means I offer my love to you to be your own
If you refuse me I will be blue, waiting all alone

But if when you hear my love call ringing clear
And I hear your answering echo so dear
Then I will know our love will come true
You'll belong to me, I'll belong to you

Then I will know our love will come true
You'll belong to me, I'll belong to you"
Letter To Heaven,Dolly Parton,Country,"An old man was sitting at his table one day 
Writing a letter to pass time away 
His little granddaughter climbed up on his knee 
Saying won't you please write a letter for me 
Oh what must I say in this letter I pray 
Tell mommy I miss her since she went away 
I coming to see her real soon I hope 
He choked back a big lump that rose in his throat 

He sealed it and wrote on that big envelope 
To God up in heaven you'll get it I hope 
He stamped it and handed it to her to mail 
Her big eyes were shining her little face pale 

She was crossing the street to the box o'er the way 
And when she stepped out never looked either way 
A big auto hit her and sped away fast 
The little girls prayers had been answered at last 

The postman was passing and picked up the note 
Addressed to the Master and these words he spoke 
Straight up into heaven this letter did go 
She's happy up there with her mommy I know"
I Got Him Ready For You,Chely Wright,Country,"I taught him how to talk to me
I showed him what a woman needs
A hand just to hold in the dark
He used to think it was enough
Sending flowers to show love
Now he knows he's gotta open his heart
And the saddest thing 'bout how it all came down
Is he's not here with me now

I got him ready for you
Look at all the things he can do
You can cry on his shoulder
He might even cry too
He's come a long long way
And it's tragic but true
I guess I've got him ready for you

I wouldn't say I have regrets
'Bout the time that we both spent
If the truth be known, I'm a little better too
So when he does the little things, when he treats you like a queen
In a crazy way I'm bearing the rood
Ooh, I feel like I did all the fixing in mud
But you moved into our house of love

I got him ready for you
Look at all the things he can do
You can cry on his shoulder
He might even cry too
He's come a long long way
And it's tragic but true
I guess I've got him ready for you

I don't blame you, I'm not saying you stole him away from me
I just want you to know he's not the man he used to be, yeah

He's come a long long way
And it's tragic but true
I guess I've got him ready for you
I guess I've got him ready for you"
Moonshiner's Daughter,Hayseed Dixie,Country,"It was a lovely day for a wedding
And the folks were all dressed in black
When she said ""I do,"" I said ""me too""
With a shotgun pointed at my back

I married a moonshiner's daughter
How could I go wrong?
'Cause the moonshiner's daughter cooks up corn and water
And makes me liquor all night long

Well, the preacher was as drunk as he could get, lord
And her brothers and her dad were too, of course
Her mom whispered in my ear, ""if she don't satisfy you, dear
Just come on down and get you some at the source.""

I married a moonshiner's daughter
How could I go wrong?
'Cause the moonshiner's daughter cooks up corn and water
And makes me liquor all night long

We had our honeymoon in Nashville
Got a room down on Dickerson Pike
When the desk clerk, he asked me, ""how old is she?""
I said, ""old enough to know just what I like""

I married a moonshiner's daughter
How could I go wrong?
'Cause the moonshiner's daughter cooks up corn and water
And makes me liquor all night long"
Fire And Smoke,Earl Thomas Conley,Country,"In and out of honkey tonks from one town to the next.
But anything worth loving
Lord's, just too hard to forget.
Everyday's another day of feeling more the same.
Looks like I'll run out of highway before
I out run the rain.

But if there's fire and smoke,
Ooh what a rush I got when your love was hot.
Oh but I couldn't see.
That when the flame burned out you'd leave
A cold dark cloud a raining down on me.

So I'm reaching out to someone wishing, she were you instead.
Everything I left behind was waiting up ahead.
Pulling on the bottom baby, looking back on you.
Anyways the right way babe as long as I pull through.

But if there's fire and smoke,
Ooh what a rush I got when your love was hot.
Oh but I couldn't see.
That when the flame burned out you'd leave
A cold dark cloud a raining down on me.

Yeah, and when the flame burned out you left a cold dark cloud a raining
Down, a raining down on me."
Jackson,Johnny Cash,Country,"We got married in a fever, hotter than a pepper sprout
We've been talkin' 'bout Jackson...

...Ever since the fire went out
I'm goin' to Jackson, I'm gonna mess around
Yeah, I'm goin' to Jackson
Look out Jackson town

Well, go on down to Jackson; go ahead and wreck your health
Go play your hand you big-talkin' man, make a big fool of yourself
Yeah, go to Jackson; go comb your hair!

Honey, I'm gonna snowball Jackson

See if I care

When I breeze into that city, people gonna stoop and bow. (Hah!)
All them women gonna make me, teach 'em what they don't know how
I'm goin' to Jackson, you turn-a loosen my coat
'Cause I'm goin' to Jackson

""Goodbye,"" that's all she wrote

But they'll laugh at you in Jackson, and I'll be dancin' on a Pony Keg
They'll lead you 'round town like a scalded hound
With your tail tucked between your legs
Yeah, go to Jackson, you big-talkin' man
And I'll be waitin' in Jackson, behind my Jaypan Fan

Well now, we got married in a fever, hotter than a pepper sprout
We've been talkin' 'bout Jackson, ever since the fire went out
I'm goin' to Jackson, and that's a fact
Yeah, we're goin' to Jackson, ain't never comin' back

Well, we got married in a fever, hotter than a pepper sprout..."
Caleb Meyer,The Greencards,Country,"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a random page?"
