I Didn't Mean To,Casual,Rap,"Verse One:

All right I might
Have had a little glare when I stared at ya ho
But I didn't know she was like that
She stared right back
My niggas warnin me that she was comin' on to me
I react like a mack do I act cool
Just to test her 'cause I ain't no jester
I suggest her and her friend be outtie
'Cause I don't want to make my pals get rowdy
And doubt me our friendship
But when lips touch
I go crazy in the clutch
Sorta like schitzo I forgets my bros and pals over gals
I didn't mean to but when you fiend you do
Strange things for the denim no matter who's in em
Grab a flooze then I'm in traffic
Don't laugh it might be your girl that I'm talkin' about
I didn't mean to

Chorus: Repeat 2X

It ain't my fault that your girl got caught
It ain't my fault that your girl got caught (I didn't mean to)

Verse Two:

Another incident when I went
Way beyond what I should have done
John should of stopped before them drawers dropped
But I didn't ain't no quittin
Really didn't care who's girl I was hittin
I admit skinz ain't a reason to lose friends
But then again I didn't know, sorry
Accept apologies and live on
Are we goin' hold grudges well oh fudge
It's a new year and I do fear
Ya actions ya actin' shy
I mean ya need to be smackin
That hoe
Instead of tryin' to front on me ya know
That's exactly how I'm goin' to be ya know
I run my game on any G ya know
'Cause we the most entertainin
I meant to blame women
For makin' me do what the Ak seem to
When you call I screen you
I didn't mean to


Verse Three:

Why do fools be schememin dreamin'
Actin' like demons
Niggas don't give a fuck
Because they beat shit
To many girls front cute
When they want loot
They tell lies the swell guys
Can peep it and that's weak shit
That's why I run game on every freak I get
Born in Oakland grew up pumpin Too Short
I know the rules on the flooze so who's short
I once had a ho who smoked blunts yo
She tried to get me so I looked at the front door
And now she's not with me so forget it
But every once in a while I'll hit it
And it happened to be your girl
I didn't mean to and I been through
Your relationship and I hate dumb dips
But I really can't trip when they ride my tip
I didn't mean to"
The One And Only (Edited),Snoop Dogg,Rap,"Aw yeah, coming to you live and direct from the LBC
We have the one and only, Snoop D-O double G
Yeah, yeah, drop it

(Scratching)
It's the one and only D-O double G
Big Snoop Dogg, it's the one and only
The one and only, D-O double-double-double G

(Snoop Dogg)
Big Snoop Dogg
You in the presence of a motherfucking rap star
I push up laid back in a black car
Though I bossed up, it ain't hard to tell that
I came up hard as hell, check it out
I stayed sharp and played my part
All I had was a mic, a dream and some heart
Me and my moms wasn't getting along at this time
And since pops was gone, I'm out grinding
Catch a nigga praying, swearing I ain't going back to jail
Judge about tired of a playa, I don't know about this bidness shit
But I'm good with this rapping, can I get a witness what's happening
That's about the time I put down the rocks
And got to working in the studio around the clock
For a small profit, but a whole lot of game
Man I'm famous, now it ain't the same

It's the one and only D-O double G
Do you want some of this
Top Dogg bite 'em all, yeah I'm burning it up
Aw naw, Big Snoop Dogg
You tuned in to the number one
Buck one, buck two, buck three, buck four
So get real fool, fool

(Snoop Dogg)
Local boy made good over night shit
Not only am I getting righteous but wise see
I paid the price, with consecutive platinum hits
I up my status, ain't no more Calvin Broadus
World on my shoulder, but I can handle it
Now that I'm older, I'm sharper and colder
Can you remember when I slid in Deep Cover
And made niggas in the Beach love eachother
A street hustler, but I'm all set for the come up
Best kept secret so I'm want up
I've been acquitted up for 1-8-7
Yes I'm blessed thank God in Heaven
Now all I need is a push in the right direction
Weed and a mic now I'm writing checks
And now the game ain't stopping
And can't nobody say my name ain't popping
Started off young as a little-bitty buck
Now I'm ready for the world, and I got to give it up

(Snoop Dogg)
You in the presence of a motherfucking millionaire
Stop, look, listen, feel, yeah I ain't tripping on shit
I worked hard as a motherfucker
Fuck Cuzz, and him too cause all y'all suckas
Now with the savvy of a business man
I gave, new niggas a chance, to see what they was saying
And kept a spot on hot, West Coast on lock
Big Dizzel knocking down your block
Never looking back uh uh, a steady process
And leaving that way, cause see I'm blessed
It's like I'm happy now, 'cause I'm a family man
I fell in love with my kids and my wife again
And these here are the files of a classic
It's my throne till I choose to pass it
Worldwide and the sun shine so bright
That's why I wear my yellow C's at night nigga"
Seaweed,Saul Williams,Rap,"I drive a yellow Volvo
'86, submarine
Someone's behind me in an escalade
Trying to blind me with their high beams

I make a left
I'm on the road to nowhere, heading west
The sky is purple streaks
The sun is setting in my chest

I feel warm inside
So I'm going for a ride
Put your picture on my dashboard
Till my fate and yours collides

Seaweed
Washed upon the shore
Severed locks of he who walks
The ocean's floor

Got a yellow Volvo
'86, submarine
Rims like Tibetan prayer wheels
And my tank is filled with dreams

Fuck the game
I practice being in the passing lane
And watch the price of gasoline
Rise with the price of fame

I'm immortal
I render unto Caesar to be cordial
He sees a wooden casket
Where I see a glowing portal

Check your engine
Looks like you're running on the blood of Indians
Put some turquoise in that Rolls Royce
Till you crash into a pendulum

Seaweed
Washed upon the shore
Severed locks of he who walks
The ocean's floor

Got a yellow Volvo
'86, submarine
I drove it under water
Guided by my own high beams

Nothing's left
Witnessed the demolition of the west
Feel like a little kid
Hiding in my mothers' dress

I'm in space
The lone ambassador of every race
The starfish that discover me
Plant their flags into my face

I'm a clone
Of every written and unwritten poem
A shark pulls up beside me
Fingering beads and chanting om

I can't believe it
I never really thought that sharks would need it
I thought they'd make their peace
Bite it, bleed it, kill it, eat it

But I was wrong
Every living being deserves a song
And our passions must be rationed
Till our rations sing along"
(Bloody Paw On The) Kill Floor,Busdriver,Rap,"Buy now, I kill for a living
Buy now, I kill for a living...

I'm fitted for a heat-resistant sleeve
Keep your distance please
Your persona's in question my phosphorescent skin
Makes your heat pistons freeze
I'm a hallucinogen pez-dispenser, led ventures
With a group of umpla-lumpa parachute troopers
Who discredit theories and behead your mentors
Who can radio wave windsurf to invert what is common knowledge
I will insert my solemn promise to style until my limbs burst
Negotiate with marketing consultants, giving me the once-over
Wearing grim smirks
They would like me to convert my gritty edge
To unearth my earning potential
But my face is so sun burnt
Due to all the grassroots grunt work
That I won't be co-opted
And every photo-op needs to be photoshopped cropped and snipped
But I'm a street vendor kinds sir
This style-free is dopamine
It's a meat tenderizer at the gallery opening

You can join my suicide cult
Membership is free
Take these cyanide eye-drops
And peppermint hemlock
This is what you have been billed for
Dancing on the kill floor
To vibrant woofer, clients butchered to a film score
This is what you have been killed for
Dancing on the kill floor
To vibrant woofer, clients butchered to a film score

Contrast bohemia to my workplace
When I'm racing in carpool lane
To sell shit to an art school lame
-Don't you think you're hot shit
Well what do you have to offer-
A dead archetype able to be purchased on a credit card swipe
But they can they pinpoint and nail
My distance between art and commerce
With just an invoice of a sale
I will disappoint an ail
Those who want to deny us the majority rule
When a will jump in my primordial pool
Without knowing where their swim trunks were
But not everyone knows
What they're called on to encumber
You can't know by just logging on with a pin number
Buy now
You pasty Brits
Buy now
You crazy chicks
Buy
'Cause I don't pay attention to rules,
Regulations or safety tips
Love us
Eligible bachelors
Love us
'Cause we're the Blowed rappers
Loved
'Cause I tour the country so much
I can do it blindfolded with no road atlas
Unrelated to your three-legged
Preachy bootleggers will do away with you
CD duplicators make vegans
Do the salad bar swing-pivot
Wave your valid parking tickets
At the endangered sea-urchin
Tell me the name of your political activist key person
And I'll tell you what's under the blips of the clean version
Of the infamous rap rant
Trickling down the baggy pant leg
Of this unhappy class aid
Covered in shell fragments of this
Graffiti tagged glass egg
I can sell anything to a hip-hopper
Like it's my cathartic something
But I don't make enough to go apartment hunting

You can dance to death
And for no extra charge
Give me your debit card
So you can have sex with stars
This is what you have been billed for
Dancing on the kill floor
To vibrant woofer, clients butchered to a film score
This is what you have been billed for
Dancing on the kill floor
To vibrant woofer, clients butchered to a film score
...
Buy now,
I kill for a living
Buy now,
I kill for a living..."
Go To Hell,Prozak,Rap,"If it's hate that you speak
(Go to hell!)
And if you prey upon the weak
(Go to hell!)
Spreadin' lies and deceits
(Go to hell!)
Eternal flames, feel the heats
(Go to hell!)
And if you cannot make amends
(Go to hell!)
And if you follow every trend
(Go to hell!)
And if you back stab your friends
(Go to hell!)
If you ain't down till the end
(Go to hell!)

The chosen one, the wicked son, they call Hitchcock
Talk some shit and I'ma hit you with this quick block
Body parts are scattered and sealed up in ziplocks
With my steel cats get ill'd up to six blocks
You can try to run away but you won't get far
They call me Prozak, BITCH!, the knight of Templar
I'll open up your brain like the Deathstar
And lyrics come to me like ghosts from the graveyard

Since my birth I've been obsessed with the dead
Homocidal thoughts while I was bein' breast fed
I tried to kill myself but I survived instead
From pieces of a broken mirror, sliced my wrists, bled

Shit, my wicked rhymes will have you overdose
I'll leave your ass comatose
You try to play me close I'll levitate the smoke
When I hit the fuckin' stage be like, ""What's that smell?""
Sulfer and brimstone BITCH, go to hell

If it's hate that you speak
(Go to hell!)
And if you pray upon the weak
(Go to hell!)
Spreadin' lies and deceits
(Go to hell!)
Eternal flames, feel the heats
(Go to hell!)
And if you cannot make amends
(Go to hell!)
And if you follow every trend
(Go to hell!)
And if you back stab your friends
(Go to hell!)
If you ain't down till the end
(Go to hell!)

They call me Hitchcock
The radios afraid to play my wicked paragraphs
Go to the station lock and load up on they whole staff
And let them know the danger of us crossin' paths
And let it be known that I spit the truth like a polygraph
So jot it down homie, copy that
There's always room for another carbon copycat
They tried to run with my style but I got it back
It's hard to sound just like me with your head in half
(Go to hell!)

If it's hate that you speak
(Go to hell!)
And if you pray upon the weak
(Go to hell!)
Spreadin' lies and deceits
(Go to hell!)
Eternal flames, feel the heats
(Go to hell!)
And if you cannot make amends
(Go to hell!)
And if you follow every trend
(Go to hell!)
And if you back stab your friends
(Go to hell!)
If you ain't down till the end
(Go to hell!)"
Tonite'S Tha Night,Kris Kross,Rap,"Shh
Kris Kross
95
Yeah

Who gotcha open, scopin out the track
It's no other than the sounds of the Daddy Mack
Still slackin' back-packin up my turf
'Cause after me was a factor real worse at the worst
Stompin, jumpin' wanna-be's
But ever however there's only one M A C (say what)
Me and Daddy for the big picture
Ways of gettin' richer, mister quick to hit your sister
I'm ballin in the Green County on chrome
I slip brothers on the deck on my cellular phone
I'm just loungin, leather, sound all around
And a dip on the other end wanna put me down now
No hesitation I hops to it
See it ain't easy bein' a Mac but somebody gotta do it
True it's, usually not represented right
But I'm the M A C D A double D Y and tonight's the night

Tonight's the night
Please, my whole crew makes g's
Tonight's the night, baby, so blow up on these
Tonight, tonight is the night

Tonight's the night
Please, my whole crew makes g's
Tonight's the night, baby, so blow up on these
Tonight, tonight is the night

Tonight's the night I call up all the girls
I used to go to school with fool with
And all the niggas that I'm cool with
Let 'em all know that my moms is gone
And it will be tomorrow before she comes back home
Ding-dong it's on, nigga say no more
I'm with a truck full of women so just open the door
'Cause yo, we came here to party
Get it crunk, get drunk and leave your house with somebody
True that, so homies don't bring your main misses
'Cause it's real deal mackin' when it comes to the Chris's
And this could be your very last time seein' her
One look at me and you better believe that I be g'n her
So come alone or don't come at all (why?)
'Cause it's real big pimpin' at this playa's ball
True it's, usually not represented right
But with me it's all to the g and tonight's the night

Tonight's the night
Please, my whole crew makes g's
Tonight's the night, baby, so blow up on these
Tonight, tonight is the night

Tonight's the night
Please, my whole crew makes g's
Tonight's the night, baby, so blow up on these
Tonight, tonight is the night

Tonight
Tonight
Tonight is the night
Tonight
Tonight is the night
Get ready (for what)
Tonight
Gonna make this a night to remember (no doubt check it)
Get ready (get ready)
Tonight
Gonna make this a night to remember"
Monster For Music,Beatnuts,Rap,"(Intro] [Psycho Les talking)
Yeah, this is for all my beat heads right here.
""Yeah you know how we comin'""
Yeah, hit me again with that shit.
""Yeah you know how we comin'""
{Girl talking}
Yo yo yo Les, how you comin' this time?
""Raw grooves with the funky drum drummin'""

(Verse One] [Psycho Les)
I might joke around
But you know my beats don't play money
I know you don't got money, so I know you trying to save money
At the same time a nigga like me, is trying to make money
You a greedy nigga so don't make me force my way in and take money
Out your stash
WHAT! You holding shit from me?
I'ma get it out your ass quick fast sonny
You like that fast money
Me? I'm looking for that long term money
'Cause I loves to buuuurnn money
Niggas don't wanna work, but yet they wanna earrrn money
(Homeboy just want platinum)
Ayo that's none of my concern money
Tell me who can draw a tec and shoot you this quick? Who else gonna bring you that futuristic?
Exclusive
Fat and juicy, take a bite nigga
You'll see I'll knock your teeth out now you all lips like pussy
Lookin' mad as shit, haters wanna knock this
Fuck what you claim hip hop is
Fuck all your jewels and how flooded your watch is
You need to hit me with that funky shit non-stop kid

{Girl talking}
Yo Les, that shit if funky. I like that shit.

You know why?

I'ma Monster for music [x4]

(Verse Two] [Psycho Les)
Oh, you supposed to be the bomb now?
I think you and your label need to calm down
Yeah you nigga, with that corny song out
Who about to put it on now? (WHO)
Ju and Big Psych 'bout to put it down
And we don't give a fuck bout your bullshit style son You need to sit down, who coming with da shit now?
(Get down)
With some soul like James Brown
All these niggas shippin' gold I was like fuck the games now
Don't make me start callin names out (blowing brains out)
Niggas now the face now
So when I stick you, you on the floor face down Pullin' your head wondering if I left the place now
But hold up now, hold up, hold up
Before this songs through
I gotta another funky break for you
Hit it!

I'ma Monster for music [x4]

Yo for real this shit is hot!"
Screw Jams,Chamillionaire,Rap,"She told the DJ pardon me, I need some Swishahouse
Color Changin' Click and, Boss Hogg and Wreckin' Yard in my life
(In my life, in my life, in my life) weeell
A Slow Loud And Bangin' c.d., some Screwed Up Click and
A little Sucka Free, cause that's what I need in my life
Yes it is, weell weell

(Chamillionaire)
She say she listens to my music, but she can't get into it
She don't like it regular speed, she like it when they screw it
What I'm fin to do is, call Ron and Watts on my phone
Tell 'em slow it down, so the ladies can get they grind on
Yellow red or brown tone, call me when your guy's gone
If you gotta shake that lick, them haters get they diet on
She's the type rich men, will give money for some action
Said she's light skinned and, and she'll strip for Andrew Jacksons
Gets excited when, she be jamming them F Actions
Turn the lights off then, and if you wanna get your grind on
Just go pick up that phone, then just get your dial on
Call me up I'll come over, and help you turn your smile on

(Chamillionaire)
She's calling me, on my phone
Telling me she's feeling freaky, her body's in need of me
Hopping in on my 4's, grabbing my
Chopped and screwed c.d., and my grey T-A-P-E
Y'all know, playas get chose
Color Changin' Click c.d., Michael Watts, OG Ron C
Even your neighbors knew, just what I came to do
They seen the navy blue, choking on things of two
They know it ain't your boo, they heard us banging Screw
Making the headboard bang, while I'm banging you
Giving you a work out, like a trainer
Hit it then I flip you over, to change the view
My sex is a weapon, that's aimed at you
Finish and reload, just like a gangbanger do
You little angel you, that's what your friends think
'Cause they didn't see you, sipping on that red drink
Getting drunk, while I hit it on the sink
In the kitchen and I'm switching, I can hit it till the bed sink
You can lock the lock, I'm fin to rock the twat
I'm fin to give your friends, something new to talk about
Fin to give it to you shorty, you gon feel it in your body
Everytime Ron and Michael Watts, chop a spot
I ain't forgot about, the true DJ Screw
'Cause if it wasn't for Screw, wouldn't be nothing to do
No claiming red, no claiming blue
It wouldn't be nothing to bang, while I'm banging you, jeah

(*Talking*)
She said Koopa, I know you be checking these niggaz
But can the ladies get a lil' love, yeah

(Chamillionaire)
I don't discriminate the race, pretty face pretty shape
Shaped like figure eight, she can get a little steak
We can end a date, like a episode of Ricki Lake
Call a couple of your friends, they could participate
Get on my three way, now what is the delay
I pull out the video cam, and show you the replay
I screw you real slow, like a H-Town DJ
We could jam Bun B, and that you to the G.K
And a little Sucka Free, ain't enough for me
Big M-O-E, gotta give me the whole S.U.C., they'll screw it
Money over B.I. to the T-H to the E-S
In the streets shake the peace, everybody respect the streets
Everybody'll shine, from the neck and teeth
Gotta give me the S.P.C., Trae and Dougie D
Free that nigga Z-Ro and that Pimp C, cause thay'll screw it
Girl I got you wet, girl I'll kiss your neck
And I know that the sex, sure to make you sweat
I show respect, to the Swisha vets
And the Screwed Up Click G's, get respect
Lil' O and C-N-O to the E, 'Face and Willie D
Big Pokey, Flip and E.S.G., they'll screw it

(*Talking*)
Yeah, slow jam ain't a slow jam
Unless it's a screw jam
Can't listen to it, no other way
Gotta be screwed up
DJ Screw, rest in peace

Mix Tape Messiah"
Niggas & Bitches,Ja Rule,Rap,"(Intro - Ja Rule - talking)
Yeah ... ha, uh huh
You know how we do (we're gonna do how we do)
Uh, uh, yo my nigga Cad what's hangin' nigga (gangsta shit)
Nigga Terry what's goin' on nigga
Let me talk to 'em for a minute (Murder Inc. bosses in the building)
Yeah, haha

Niggas! Grip the iron and keep it cocked
Bitches! Work your clit keep that pussy hot
'Cause it's all about the benjamins and nobody ain't doin' it like us
C'mon what y'all want?

Niggas! Grip the iron and keep it cocked
Bitches! Work your clit keep that pussy hot
'Cause it's all about sex, money, and murder
Bitches that burn ya, niggas with burners
Cocked and let go!

Fuck all y'all motherfuckin bitch ass niggas
I'm talkin' to whoever wanna be ridin' my dick
And you know your gon' get it as hot as I spit it
It's the Rule and nobody wanna be bothered with
If I hit 'em in every direction with four fifths
Will expend like 45's with compact discs (c'mon)
It's a disappointment to see niggas flip on Rule like they double jointed
When I'm one of rap's anointed
Who else used to order it all on the dick
Like when I come through with spinners on the six
And got bitches bouncin' like Ronnie in Tricks
But some whores in this game really don't make sense
Bomb roof and via Cal's and clonin Ems
But when bullets go through your film, we break your limbs
A horror show, yeah picture this
'Cause I guess you can't see it, it's Murder again

Rule I fuck with bitches in Manolos and thick Louie Vuitton logos
'Cause I don't love these hoes
I'm above and beyond everything that your seein
And I'm the only real nigga left rappin' this freakin
If I could be one of the seasons, you'd call me summer
The way I bang the heater out the back of the Hummer
The bull just move like runners from city block to city block
Layin down the foundation for what's really hot
Y'all niggas really not on my level (c'mon)
I'm like slugs when they pierce the metal, you see sparks (what)
My voice is a brush, they hear it it's like art
And nobody can really tell the twins apart
I call one Nina, other one Santa Maria
I might roll up on your set, dump and lean ya
My bitch is cocked to bang men in Virginia
Don't make me run up on ya, put a few in ya

Yeah, yeah, yo, Murder's outlaw, that guess I get a city's a broads
So I push the Porsche high and truck to court
Holla at the judge if the judge made a bad decision
I feel like the nigga that triggerin guns with mittens
It's hard to get done, I'm hearin that security runs
Around 30K, if they don't get hit with an AK
And found out that the security's runnin' another way
Like with me, it's Murder, probably
If I could drop in to manslaughter get a bail and flee
Cause my downess says bitch up, let her handle the pick up
Snow cone the country leave no market untouched
Call me drugs if this is how they pushin us rafters
But I don't do it 'cause I need it, I do it 'cause I want more
Definition is greed, I do it 'cause I want yours
And y'all niggas is teasin, y'all don't really want war
But if you really do, your gonna need a lot more

(Outro - Ja Rule - talking)
Faggots, haha (Panna Banana what up)
Yeah, shout out to my nigga 01 (my nigga Holla, I see you baby)
Baby, you know what I mean? My nigga Black Child (Joe, what up nigga)
Big Caddillac, my motherfuckin partner my brother
What up Gotti, you know how we gonna do these niggas
You ain't got to pick up no mic either my nigga
I got this, I got these niggas Gotti
Holla back nigga [laughing]
Yeah, uh, yo my nigga Burns in the building
Blow somethin' up nigga [fades out]"
Streets On Lock,Young Jeezy,Rap,"Ay... Ay... Ay... Chea... Ay ...Ay...
Let's get it

These niggas just hating they ain't talking bout shit
I'm a grown ass man I flip my own brick
I don't need yo help I can own my own dick
Ain't no muthafucker help me write my rhymes
Ain't no nigga pay for my studio time
See me at the top and want to claim my fame
Nigga took my chain yeah motherfuckin right
You better off saying a nigga took my life
Want to assassinate my character but I ain't acting
It ain't adding up so you niggas subtracting
B.I.G. said it first more money more problems
The why I see it more problems more money (whatsup)

I got the streets on lock
Atlanta on my back
I do it for the hood
You got a problem with that
Real nigga so this rap shit easy (when I speak)
Theses niggas believe me
Cause bitch I'm Jeezy
(x2)

Eyes wide shut I don't see these niggas
Cause deep in your heart you want to be me nigga
Want to stand in my shoes
Want to fuck my hoes
Want to live my life
Want to rock my shows (no)
Ya young punks with ya loose ass lips
I keep a AR with them loose ass clips
What type of real nigga name himself after a bag
Nigga you's a hoe, a Loui Vuitton fag
My name ain't dick so keep it out ya mouth
It is what it is look I am Da South (that's right)
Big Mac you niggas small fries
You just another nigga I'm more like the franchise (whatsup)

I got the streets on lock
Atlanta on my back
I do it for the hood
You got a problem with that
Real nigga so this rap shit easy (when I speak)
Theses niggas believe me
Cause bitch I'm Jeezy


I was born in the Field raised in Atlanta
Pop busted a nut here so I was made in Atlanta (ha ha)
Mat Lew died so I stayed in Atlanta
Had a plug on the squares got paid in Atlanta
22's on the 2-door it sits so right
Ice tray on my wrist yeah it shines so bright
Make moves in the day and I ball by night
9/11 Porsche I was on that flight
5'9, 6'1 I call'em the twin towers
Had them on the triple stack
Hit'em both in the shower
Pedal to the medal 'bout a buck 85
Mr. 17-5 slow head well I drive (whatsup)

I got the streets on lock
Atlanta on my back
I do it for the hood
You got a problem with that
Real nigga so this rap shit easy (when I speak)
Theses niggas believe me
Cause bitch I'm Jeezy

Ay... Ay... Ay... Chea... Ay"
